id_m,id_s
n1633,s619-2
n1634,s620-2
n1635,s621-2
n1636,s622-2
n1637,s623-2
n1638,s624-2
n1639,s644-2
n1640,s632-2
n1641,s633-2
n1643,s645-2
n1642,s634-2
n1644,s635-2
n1645,s636-2
n1646,s637-2
n1647,s647-2
n1648,s638-2
n1649,s639-2
n1650,s648-2
n1651,s640-2
n1652,s641-2
n1653,s642-2
n1654,s643-2
n1655,s662-2
n1656,s650-2
n1657,s651-2
n1658,s663-2
n1659,s652-2
n1660,s653-2
n1661,s654-2
n1662,s655-2
n1664,s665-2
n1663,s656-2
n1665,s657-2
n1666,s666-2
n1667,s658-2
n1668,s659-2
n1669,s660-2
n1670,s661-2
n1671,s680-2
n1672,s668-2
n1673,s669-2
n1674,s670-2
n1675,s671-2
n1676,s682-2
n1677,s672-2
n1678,s673-2
n1680,s683-2
n1679,s674-2
n1681,s675-2
n1682,s676-2
n1683,s677-2
n1685,s685-2
n1684,s678-2
n1686,s679-2
n1687,s695-2
n1688,s686-2
n1689,s687-2
n1690,s688-2
n1691,s689-2
n1692,s690-2
n1693,s691-2
n1694,s692-2
n1695,s699-2
n1696,s700-2
n1697,s701-2
n1698,s702-2
